cropID,cropNameSPAM,codeSPAM,nameSPAM_grouped,codeSPAM_grouped,nameGAEZ,codeGAEZ,nameBasket_detail,codeBasket_detail,nameBasket_grouped,codeBasket_grouped,whole,silage,concentrate,BurkinaSPAM,EthiopiaSPAM,SSAfeedBurkina,RahimiBurkina,SSAfeedEthiopia,FeyisaEthiopia
1,wheat,whea,cereal,cere,wheat,,cereal,cere,cereal_thin,cereThin,1,0,0,0,1,0,0,Wheat straw,1
2,rice,rice,cereal,cere,rice,,cereal,cere,exclude,excl,0,0,1,1,1,0,0,1,0
3,maize,maiz,cereal,cere,maize,,cereal,cere,cereal_thick,cereThick,1,1,1,1,1,0,1,Maize stem,1
4,barley,barl,cereal,cere,other cereals,,cereal,cere,cereal_thin,cereThin,0,0,0,0,1,0,0,Barley straw,1
5,pearl millet,pmil,cereal,cere,other cereals,,millet,mil,cereal_thick,cereThick,0,0,0,1,1,0,1,Pearl millet stover,0
6,small millet,smil,cereal,cere,other cereals,,millet,mil,cereal_thick,cereThick,0,0,0,0,1,0,1,Finger millet stover,0
7,sorghum,sorg,cereal,cere,other cereals,,millet,mil,cereal_thick,cereThick,0,0,0,1,1,0,1,Sorghum stover,1
8,other cereals,ocer,cereal,cere,other cereals,,cereal,cere,cereal,cere,0,0,0,1,1,0,0,Teff straw,1
9,potato,pota,exclude,excl,potato and sweet potato,,exclude,excl,exclude,excl,0,0,0,1,1,0,0,NA,0
10,sweet potato,swpo,roots,root,potato and sweet potato,,sweet potato,swpo,roots,roots,0,1,0,1,1,0,0,Sweet potato vines,0
11,yams,yams,roots,root,yams and other tubers,,root other,rootO,roots,roots,0,0,0,1,1,0,0,0,0
12,cassava,cass,roots,root,cassava,,root other,rootO,roots,roots,0,0,0,1,1,0,0,Peel but no ME,0
13,other roots,orts,roots,root,yams and other tubers,,root other,rootO,roots,roots,0,0,0,1,1,0,0,,0
14,bean,bean,pulses,puls,pulses,,legume,leg,leg,leg,0,0,0,1,1,0,0,Common bean straw,1
15,chickpea,chic,pulses,puls,pulses,,legume,leg,leg,leg,0,0,0,0,1,0,0,Chickpea straw,0
16,cowpea,cowp,pulses,puls,pulses,,legume,leg,leg,leg,0,0,0,1,1,0,0,Cowpea straw,0
17,pigeonpea,pige,pulses,puls,pulses,,legume,leg,leg,leg,0,0,0,0,0,0,0,Pigeonpea straw,0
18,lentil,lent,pulses,puls,pulses,,legume,leg,leg,leg,0,0,0,0,1,0,0,Lentil straw,0
19,other pulses,opul,pulses,puls,pulses,,legume,leg,leg,leg,0,0,0,1,1,0,0,0,1
20,soybean,soyb,oilcrops,oilc,soybeans,,soy,soy,leg,leg,0,0,1,1,1,0,0,Soyabean straw,0
21,groundnut,grou,oilcrops,oilc,groundnut,,legume,leg,leg,leg,0,0,0,1,1,0,1,Leaf & stem - no country,0
