"","Reference","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country","Feed_item"
"1","53103",95.68,39.49,51.12,7.92,11.25,87.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.64,7.36,3.85,1.59,4.39,"Kenya","Dairy concentrate"
"2","53127",92.86,9.66,42.53,1.87,18.29,96.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.39,11.97,8.03,5.31,7.61,"Kenya","Dairy concentrate"
"3","53126",92.91,11.81,47.82,2.66,18.16,97.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.88,11.76,7.82,5.19,7.49,"Kenya","Dairy concentrate"
"4","53125",93.02,8.56,39.04,3.15,14.29,97.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.23,12.47,8.41,5.69,7.95,"Kenya","Dairy concentrate"
"5","53123",93.71,21.2,43.84,3.97,19.34,87.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.68,9.33,5.73,3.31,5.77,"Kenya","Dairy concentrate"
"6","53118",93.14,23.14,46.39,5.01,23.28,87.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.47,9.25,5.65,3.22,5.69,"Kenya","Dairy concentrate"
"7","53117",93.43,14.81,39.06,3.51,20.18,94.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.68,11,7.2,4.6,6.95,"Kenya","Dairy concentrate"
"8","53116",92.9,9.36,40.5,1.84,18.61,95.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.59,12.01,8.03,5.36,7.66,"Kenya","Dairy concentrate"
"9","53115",94.2,23.59,44.51,4.47,19.43,85.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.48,8.87,5.27,2.89,5.44,"Kenya","Dairy concentrate"
"10","53113",93.21,11.38,42.53,2.83,21.84,95.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.76,11.67,7.78,5.1,7.41,"Kenya","Dairy concentrate"
