country,season,admin,AEZ,feed_item,codeSPAM,codeBasket_grouped,nSample,ME,ME_min,ME_max,NDF,NDF_min,NDF_max,IVOMD,IVOMD_min,IVOMD_max,CP,CP_min,CP_max
Burkina Faso,EDS,Dori,Sahelian,Bush hay ,,fodhay,7,7.2014286,6.65,7.81,63.9628571,50.77,75.91,47.8971429,43.94,51.74,5.892856875,3.0625,8.5625
Burkina Faso,EDS,Ouahigouya,Sudano-Sahelian,Bush hay,,fodhay,3,8.15,7.42,9.16,49.44,41.15,57.31,57.1633333,52.66,63.82,12.10416688,11.625,12.9375
Burkina Faso,LDS,Bobo Dioulasso,South Sudanian,Bush hay ,,fodhay,3,7.6433333,7.37,7.86,52.2933333,50.2,54.38,56.57,55.12,58.25,18.47916688,16.5,20.0625
Burkina Faso,LDS,Dori,Sahelian,Bush hay ,,fodhay,2,6.83,6.78,6.88,73.025,70.97,75.08,45.91,45.84,45.98,3.8125,3.4375,4.1875
Burkina Faso,LDS,Ouagadougou,Sudanian,Bush hay ,,fodhay,9,7.4333333,6.6,8.38,68.68,55.07,76.75,50.17,45.02,58.07,5.729166875,2.75,11.8125
Burkina Faso,LDS,Ouahigouya,Sudano-Sahelian,Bush hay ,,fodhay,2,6.965,6.82,7.11,73.855,72.18,75.53,49.285,48.04,50.53,3.84375,2.875,4.8125
Burkina Faso,WS,Ouagadougou,Sudanian,Bush hay ,,fodhay,5,7.016,6.85,7.31,81.762,74.7,87.52,47.434,46.31,49.13,2.325,0.75,6
Burkina Faso,LDS,Ouagadougou,Sudanian,Bush hay ,,fodhay,1,8.26,8.26,8.26,60.45,60.45,60.45,55.22,55.22,55.22,8.1875,8.1875,8.1875
Burkina Faso,EDS,Bobo Dioulasso,South Sudanian,cowpea,cowp,leg,2,8.485,8.41,8.56,49.04,47.21,50.87,60.07,58.61,61.53,12.90625,11.9375,13.875
Burkina Faso,EDS,Dori,Sahelian,cowpea,cowp,leg,7,8.7942857,7.56,9.6,49.5171429,38.42,61.86,59.9328571,48.61,65.01,9.767856875,6.625,14.1875
Burkina Faso,EDS,Ouagadougou,Sudanian,cowpea,cowp,leg,3,8.5566667,8.07,8.86,49.1266667,41.27,54.73,59.3266667,55.87,61.88,10.39583313,7.875,13.9375
