Reference,DM,ADF,NDF,ADL,CP,OM,P,Ca,Na,Fe,K,Mg,Cu,Mn,Zn,IVDMD,ME,NEm,NEg,NEl,Country,Feed_item,codeSPAM,codeBasket_grouped
109877,92.4,58.78,81.19,11.35,3.87,90.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.11,5.95,NA,NA,NA,Ethiopia,Wheat straw,whea,cereThin
109878,92.22,54.27,78.9,10.66,6.25,90.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9,6.06,NA,NA,NA,Ethiopia,Wheat straw,whea,cereThin
109879,92.18,57.4,80.45,11.27,4.96,91.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.93,5.9,NA,NA,NA,Ethiopia,Wheat straw,whea,cereThin
109880,92.2,56.22,80.08,11.12,5.18,90.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1,5.96,NA,NA,NA,Ethiopia,Wheat straw,whea,cereThin
109881,91.93,53.97,78.46,9.87,6.2,91.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.32,6.46,NA,NA,NA,Ethiopia,Wheat straw,whea,cereThin
109882,92.14,56.07,79.61,11.16,5.73,90.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.37,5.99,NA,NA,NA,Ethiopia,Wheat straw,whea,cereThin
109883,92.39,59.12,81.64,11.97,3.97,90.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.61,6.02,NA,NA,NA,Ethiopia,Wheat straw,whea,cereThin
109884,92.35,59.31,81.62,11.51,5.02,90.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.63,5.82,NA,NA,NA,Ethiopia,Wheat straw,whea,cereThin
109885,92.13,55.28,77.83,10.98,6.36,89.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.74,6.18,NA,NA,NA,Ethiopia,Wheat straw,whea,cereThin
109886,92.05,54.02,78.28,10.89,7.21,90.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.46,6.04,NA,NA,NA,Ethiopia,Wheat straw,whea,cereThin
109887,92.03,54,78.15,10.43,8.02,91.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8,6.07,NA,NA,NA,Ethiopia,Wheat straw,whea,cereThin
109888,92.07,54.74,78.97,10.31,6.53,90.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.67,6.14,NA,NA,NA,Ethiopia,Wheat straw,whea,cereThin
109889,92.38,58.83,81.6,11.61,3.63,89.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.07,5.72,NA,NA,NA,Ethiopia,Wheat straw,whea,cereThin
109890,92.12,54.17,79.43,9.92,6.07,89.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.56,5.99,NA,NA,NA,Ethiopia,Wheat straw,whea,cereThin
109891,92.23,54.37,78.15,10.4,5.18,88.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.22,6.08,NA,NA,NA,Ethiopia,Wheat straw,whea,cereThin
109892,92.2,50.78,77.94,9.36,5.5,90.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.4,6.99,NA,NA,NA,Ethiopia,Wheat straw,whea,cereThin
109893,92.27,56.06,79.51,10.76,4.17,89.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.77,5.89,NA,NA,NA,Ethiopia,Wheat straw,whea,cereThin
109894,92.13,54.6,78.38,10.04,5.47,89.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7,6.12,NA,NA,NA,Ethiopia,Wheat straw,whea,cereThin
