"","codeSPAM","ME_sd","ME_min","ME_max","ME","CP","NDF","IVDMD","n"
"1","bana","0.474019688284449",7.66878199789487,9.00239704901203,8.30675891991857,"5.797","42.149","51.771","10"
"2","barl","0.818953640995086",5.7570098935523,10.3045543978305,7.32260986648511,"7.96456869009585","68.6217088607595","47.7472327044025","318"
"3","bean","0.639198514098",7.03312065360322,9.78759055359445,8.68895694299869,"6.647265625","68.0987596899225","56.1240310077519","129"
"4","sugb","1.39574157623785",7.0032654541633,13.3733759526363,9.91733521188451,"19.8208219178082","39.0591780821918","67.8575342465753","73"
"5","chic","0.585227041346956",6.77270838071891,10.7625834202628,8.23343506932119,"4.65547220361688","57.543683858004","51.6483791024782","1493"
"6","lent","0.511624420431874",6.96842505343396,10.3025316416026,8.81822815871044,"9.17482972136223","51.6921174652241","56.1646676970634","647"
"7","pige","0.422251009026139",7.57927340167502,9.08480521348092,8.18489295059456,"16.2175862068966","52.9886666666667","53.46","30"
"8","plnt","0.474019688284449",7.66878199789487,9.00239704901203,8.30675891991857,"5.797","42.149","51.771","10"
"9","soyb","0.619245834335307",6.97556632366689,10.9051152116089,8.56009213600545,"7.69706713780919","66.5980281690141","56.9833450704225","284"
"10","sugc","0.264780210285064",7.19524948011286,8.01306426654212,7.53326519127497,"6.90428571428571","73.7828571428571","49.4157142857143","7"
"11","whea","1.23849890583306",5.68704951752767,11.0244784464464,7.26574815392697,"4.3211961722488","72.1080231065469","48.6803172588832","788"
"12","cowp",NA,7.6574459593345,10.4931304345401,9.33583847859538,"12.1952711116667","46.8240344","60.9810582",NA
"13","maiz",NA,7.88528915839531,7.88528915839531,7.88528915839531,"5.1875","69.08","51.76",NA
"14","pmil",NA,6.668426802203,8.41202941317518,7.59588133244439,"5.160416625","68.62666666","49.995",NA
"15","rice",NA,5.91,8.42,6.76,"5.5","65.56","49",NA
"16","sesa",NA,9.17602992652277,9.48968156670887,9.33474575298368,"19.33333344","24.23833335","59.13666665",NA
"17","sorg",NA,6.61747352726363,7.94354331384643,7.46259379302995,"4.462890625","71.922395825","48.4597916625",NA
"18","swpo",NA,8.93554297245695,9.5588942457518,9.28934671674335,"13.296875","48.395","60.56",NA
"19","smil",NA,6.668426802203,8.41202941317518,7.59588133244439,"5.160416625","68.62666666",NA,"smil"
"20","ocer",NA,6.668426802203,8.41202941317518,7.59588133244439,"5.160416625","68.62666666",NA,"ocer"
"21","oleg",NA,7.6574459593345,10.4931304345401,9.33583847859538,"5.160416625","68.62666666",NA,"oleg"
"22","cass",NA,4.18,4.18,4.18,NA,NA,NA,NA
"23","yams",NA,4.18,4.18,4.18,NA,NA,NA,NA
"24","orts",NA,4.18,4.18,4.18,NA,NA,NA,NA
"25","grou","1.58",7.2,9.3,8.5,NA,NA,NA,NA
"26","natPast",NA,6.2,6.8,6.5,NA,NA,NA,NA
