Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","1126","Camels","2014","2014","Head","1164100","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","1126","Camels","2015","2015","Head","1228023","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","1126","Camels","2016","2016","Head","1209321","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","1126","Camels","2017","2017","Head","1418457","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","1126","Camels","2018","2018","Head","1760870","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","1126","Camels","2019","2019","Head","1827112","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","866","Cattle","2014","2014","Head","56706389","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","866","Cattle","2015","2015","Head","57829953","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","866","Cattle","2016","2016","Head","59486667","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","866","Cattle","2017","2017","Head","60392019","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","866","Cattle","2018","2018","Head","61510258","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","866","Cattle","2019","2019","Head","65354090","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","1016","Goats","2014","2014","Head","29112963","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","1016","Goats","2015","2015","Head","29704958","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","1016","Goats","2016","2016","Head","30200226","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","1016","Goats","2017","2017","Head","32738385","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","1016","Goats","2018","2018","Head","38963879","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","1016","Goats","2019","2019","Head","50501672","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","976","Sheep","2014","2014","Head","29332382","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","976","Sheep","2015","2015","Head","28892380","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","976","Sheep","2016","2016","Head","30697942","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","976","Sheep","2017","2017","Head","31302257","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","976","Sheep","2018","2018","Head","33020392","","Official data"
"QCL","Crops and livestock products","238","Ethiopia","5111","Stocks","976","Sheep","2019","2019","Head","39894394","","Official data"
