Variable,Season,Region,Bull,Steer,Calf,Heifer,Cow,Lamb,Sheep,Kid,Goat,Horse,Donkey
HS,,Sah,0.05,0.07,0.27,0.14,0.47,0.33,0.67,0.33,0.67,,
HS,,Sud,0.2227,0.0372,0.2063,0.2105,0.3233,0.33,0.67,0.33,0.67,,
HS,,Periurban,0.116,0.0372,0.2063,0.2105,0.43,0.33,0.67,0.33,0.67,,
K,,,1.3,1.3,1.3,1.3,1.3,1,1,1,1,,
S,,,1.15,1.15,1.08,1,1,1.08,1,1.08,1,,
M,,,1,1,1.08,1,1,1.05,1,1.05,1,,
Age,,,3.5,2.5,0.5,2.5,3.5,0.5,1.5,0.5,1.5,,
MLW,WS,Sah,265,196,87,166,240,18,34,14,26,350,126
MLW,WS,Sud,380,256,134,226,295,26,38,21,32,350,126
MLW,DS,Sah,234,158,87,141,212,18,27,14,22,350,126
MLW,DS,Sud,291,217,134,210,261,26,29,23,26,350,126
DWG,WS,Sah,0.246,0.471,0.103,0.329,0.308,0.1,0.192,0.072,0.162,,
DWG,WS,Sud,0.258,0.252,0.319,0.192,0.144,0.075,0.073,0.058,0.072,,
DWG,DS,Sah,-0.015,-0.028,0.001,-0.02,-0.019,0.027,-0.029,0.019,-0.023,,
DWG,DS,Sud,-0.062,-0.061,0.001,-0.046,-0.035,0.076,-0.063,0.028,-0.055,,
M.D,WS,Sah,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,,
M.D,WS,Sud,6.22,6.22,6.22,6.22,6.22,6.22,6.22,6.22,6.22,,
M.D,DS,Sah,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,,
M.D,DS,Sud,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,,
Fertility,,,0,0,0,0,0.69,0,0.69,0,0.69,,
LL,,,0,0,0,0,240,0,150,0,270,,
DMY,WS,Sah,,,,,0.86,,0.27,,0.73,,
DMY,WS,Sud,,,,,1.14,,0.17,,0.5,,
DMY,WS,Periurban,,,,,7.3,,0.17,,0.5,,
DMY,DS,Sah,,,,,0.86,,0.03,,0.09,,
DMY,DS,Sud,,,,,1.14,,0.08,,0.25,,
DMY,DS,Periurban,,,,,7.3,,0.08,,0.25,,
WD,WS,Sah,5.5,5.5,2.5,5.5,2.5,13.25,13.25,13.25,13.25,,
WD,WS,Sud,5.5,5.5,2.5,5.5,2.5,11.75,11.75,11.75,11.75,,
WD,WS,Periurban,0.5,0.5,0.2,0.5,0.2,0.2,0.5,0.2,0.5,,
WD,DS,Sah,5.5,5.5,5.5,2.5,5.5,17.34,17.34,17.34,17.34,,
WD,DS,Sud,5.5,5.5,5.5,2.5,5.5,10.3,10.3,10.3,10.3,,
WD,DS,Periurban,0.5,0.5,0.2,0.5,0.2,0.2,0.5,0.2,0.5,,
Work,WS,Sud,0.9,,,,,,,,,,
Work,All,All,,,,,,,,,,0.9,0.9
