Variable,Season,Region,Bull,Steer,Calf,Heifer,Cow,Lamb,Sheep,Kid,Goat,Horse,Donkey
HS,All,Sah,0.05,0.07,0.27,0.14,0.47,0.33,0.67,0.33,0.67,,
HS,All,Sud,0.2227,0.0372,0.2063,0.2105,0.3233,0.33,0.67,0.33,0.67,,
HS,All,Periurban,0.116,0.0372,0.2063,0.2105,0.43,0.33,0.67,0.33,0.67,,
K,All,All,1.3,1.3,1.3,1.3,1.3,1,1,1,1,,
S,All,All,1.15,1.15,1.08,1,1,1.08,1,1.08,1,,
M,All,All,1,1,1.08,1,1,1.05,1,1.05,1,,
Age,All,All,3.5,2.5,0.5,2.5,3.5,0.5,1.5,0.5,1.5,,
MLW,WS,Sah,255,11,10,124,227,14,10,10,25,350,126
MLW,WS,Sud,265,174,20,152,253,24,32,17,28,350,126
MLW,DS,Sah,224,100,10,109,198,14,23,10,18,350,126
MLW,DS,Sud,277,153,20,134,221,24,25,15,20,350,126
DWG,WS,Sah,0.246,0.471,0.103,0.329,0.308,0.1,0.192,0.072,0.162,,
DWG,WS,Sud,0.258,0.252,0.319,0.192,0.144,0.075,0.073,0.058,0.072,,
DWG,DS,Sah,-0.015,-0.028,0.001,-0.02,-0.019,0.027,-0.029,0.019,-0.023,,
DWG,DS,Sud,-0.062,-0.061,0.001,-0.046,-0.035,0.076,-0.063,0.028,-0.055,,
M.D,WS,Sah,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,,
M.D,WS,Sud,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,,
M.D,DS,Sah,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,,
M.D,DS,Sud,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,,
Fertility,All,All,0,0,0,0,0.59,0,0.59,0,0.59,,
LL,All,All,0,0,0,0,185,0,120,0,225,,
DMY,WS,Sah,,,,,0.86,,0.27,,0.73,,
DMY,WS,Sud,,,,,1.14,,0.17,,0.5,,
DMY,WS,Periurban,,,,,1.25,,0.17,,0.5,,
DMY,DS,Sah,,,,,0.86,,0.03,,0.09,,
DMY,DS,Sud,,,,,1.14,,0.08,,0.25,,
DMY,DS,Periurban,,,,,1.25,,0.08,,0.25,,
WD,WS,Sah,5.5,5.5,2.5,5.5,2.5,9.95,9.95,9.95,9.95,,
WD,WS,Sud,5.5,5.5,2.5,5.5,2.5,6.85,6.85,6.85,6.85,,
WD,WS,Periurban,0.5,0.5,0.2,0.5,0.2,0.2,0.5,0.2,0.5,,
WD,DS,Sah,5.5,5.5,5.5,2.5,5.5,10.46,10.46,10.46,10.46,,
WD,DS,Sud,5.5,5.5,5.5,2.5,5.5,8.7,8.7,8.7,8.7,,
WD,DS,Periurban,0.5,0.5,0.2,0.5,0.2,0.2,0.5,0.2,0.5,,
Work,WS,Sud,0.9,,,,,,,,,,
Work,All,All,,,,,,,,,,0.9,0.9
